"filename", "language", "C++", "Python", "comment", "blank", "total"
"c:\Users\chris\Documents\Arduino\wings3\PythonScripts\bottom.py", "Python", 0, 11, 0, 1, 12
"c:\Users\chris\Documents\Arduino\wings3\PythonScripts\createShimmerList.py", "Python", 0, 6, 0, 0, 6
"c:\Users\chris\Documents\Arduino\wings3\PythonScripts\effectCopier.py", "Python", 0, 21, 0, 1, 22
"c:\Users\chris\Documents\Arduino\wings3\PythonScripts\imagePaletteExtractor.py", "Python", 0, 68, 2, 8, 78
"c:\Users\chris\Documents\Arduino\wings3\PythonScripts\palleteGenerator.py", "Python", 0, 22, 2, 2, 26
"c:\Users\chris\Documents\Arduino\wings3\PythonScripts\screenMapGenerator.py", "Python", 0, 72, 1, 4, 77
"c:\Users\chris\Documents\Arduino\wings3\PythonScripts\squareRootTest.py", "Python", 0, 10, 0, 3, 13
"c:\Users\chris\Documents\Arduino\wings3\PythonScripts\transformMapsHeaderGenerator.py", "Python", 0, 220, 13, 35, 268
"c:\Users\chris\Documents\Arduino\wings3\palettes.h", "C++", 4334, 0, 0, 7, 4341
"c:\Users\chris\Documents\Arduino\wings3\src\Graphics\effectController.cpp", "C++", 492, 0, 1, 57, 550
"c:\Users\chris\Documents\Arduino\wings3\src\Graphics\effectController.h", "C++", 7, 0, 0, 3, 10
"c:\Users\chris\Documents\Arduino\wings3\src\Graphics\effectSettings.h", "C++", 30, 0, 0, 10, 40
"c:\Users\chris\Documents\Arduino\wings3\src\Graphics\graphics.cpp", "C++", 493, 0, 1, 49, 543
"c:\Users\chris\Documents\Arduino\wings3\src\Graphics\graphics.h", "C++", 35, 0, 0, 7, 42
"c:\Users\chris\Documents\Arduino\wings3\src\Graphics\palettes.h", "C++", 3601, 0, 0, 7, 3608
"c:\Users\chris\Documents\Arduino\wings3\src\Graphics\palettesMinimal.h", "C++", 40, 0, 0, 7, 47
"c:\Users\chris\Documents\Arduino\wings3\src\Graphics\screenMaps.h", "C++", 7, 0, 0, 3, 10
"c:\Users\chris\Documents\Arduino\wings3\src\Graphics\transformMaps.h", "C++", 639, 0, 0, 12, 651
"c:\Users\chris\Documents\Arduino\wings3\src\IO\analogInput.cpp", "C++", 93, 0, 0, 17, 110
"c:\Users\chris\Documents\Arduino\wings3\src\IO\analogInput.h", "C++", 11, 0, 0, 3, 14
"c:\Users\chris\Documents\Arduino\wings3\src\IO\leds.cpp", "C++", 46, 0, 6, 6, 58
"c:\Users\chris\Documents\Arduino\wings3\src\IO\leds.h", "C++", 6, 0, 0, 2, 8
"c:\Users\chris\Documents\Arduino\wings3\src\IO\serial.cpp", "C++", 9, 0, 0, 2, 11
"c:\Users\chris\Documents\Arduino\wings3\src\IO\serial.h", "C++", 4, 0, 0, 2, 6
"c:\Users\chris\Documents\Arduino\wings3\src\Observers\movementDetectedObserver.cpp", "C++", 30, 0, 0, 5, 35
"c:\Users\chris\Documents\Arduino\wings3\src\Observers\movementDetectedObserver.h", "C++", 6, 0, 0, 2, 8
"c:\Users\chris\Documents\Arduino\wings3\src\Observers\stepDectectedObserver.cpp", "C++", 30, 0, 0, 5, 35
"c:\Users\chris\Documents\Arduino\wings3\src\Observers\stepDectectedObserver.h", "C++", 6, 0, 0, 2, 8
"c:\Users\chris\Documents\Arduino\wings3\src\Peripherals\microphone.cpp", "C++", 150, 0, 0, 21, 171
"c:\Users\chris\Documents\Arduino\wings3\src\Peripherals\microphone.h", "C++", 11, 0, 0, 2, 13
"c:\Users\chris\Documents\Arduino\wings3\src\Peripherals\movementDetection.cpp", "C++", 179, 0, 0, 21, 200
"c:\Users\chris\Documents\Arduino\wings3\src\Peripherals\movementDetection.h", "C++", 17, 0, 0, 3, 20
"c:\Users\chris\Documents\Arduino\wings3\src\Peripherals\movementDetectionMlc.h", "C++", 2233, 0, 0, 3, 2236
"c:\Users\chris\Documents\Arduino\wings3\src\Utility\fastRandom.cpp", "C++", 35, 0, 0, 11, 46
"c:\Users\chris\Documents\Arduino\wings3\src\Utility\fastRandom.h", "C++", 9, 0, 0, 3, 12
"c:\Users\chris\Documents\Arduino\wings3\src\Utility\time.cpp", "C++", 10, 0, 0, 4, 14
"c:\Users\chris\Documents\Arduino\wings3\src\Utility\time.h", "C++", 5, 0, 0, 2, 7
"c:\Users\chris\Documents\Arduino\wings3\src\settings.h", "C++", 5, 0, 0, 2, 7
"c:\Users\chris\Documents\Arduino\wings3\wings3.ino", "C++", 34, 0, 0, 5, 39
"Total", "-", 12607, 430, 26, 339, 13402
